,text,Sentiment
0,1,neutral
1,0,neutral
2,0,neutral
3,0,neutral
4,1,neutral
5,1,neutral
6,0,neutral
7,0,neutral
8,0,neutral
9,0,neutral
10,1,neutral
11,1,neutral
12,0,neutral
13,1,neutral
14,1,neutral
15,1,neutral
16,0,neutral
17,0,neutral
18,1,neutral
19,0,neutral
20,0,neutral
21,0,neutral
22,0,neutral
23,0,neutral
24,0,neutral
25,0,neutral
26,1,neutral
27,0,neutral
28,1,neutral
29,1,neutral
30,1,neutral
31,0,neutral
32,0,neutral
33,0,neutral
34,0,neutral
35,1,neutral
36,0,neutral
37,0,neutral
38,0,neutral
39,0,neutral
40,1,neutral
41,0,neutral
42,1,neutral
43,0,neutral
44,0,neutral
45,0,neutral
46,0,neutral
47,0,neutral
48,1,neutral
49,1,neutral
50,1,neutral
51,1,neutral
52,1,neutral
53,0,neutral
54,1,neutral
55,1,neutral
56,0,neutral
57,1,neutral
58,0,neutral
59,0,neutral
60,0,neutral
61,0,neutral
62,1,neutral
63,0,neutral
64,0,neutral
65,0,neutral
66,0,neutral
67,0,neutral
68,1,neutral
69,0,neutral
70,1,neutral
71,1,neutral
72,0,neutral
73,0,neutral
74,1,neutral
75,0,neutral
76,1,neutral
77,1,neutral
78,0,neutral
79,1,neutral
80,0,neutral
81,1,neutral
82,0,neutral
83,0,neutral
84,1,neutral
85,0,neutral
86,0,neutral
87,1,neutral
88,0,neutral
89,1,neutral
90,0,neutral
91,1,neutral
92,0,neutral
93,0,neutral
94,1,neutral
95,1,neutral
96,1,neutral
97,0,neutral
98,0,neutral
99,0,neutral
100,1,neutral
101,0,neutral
102,1,neutral
103,1,neutral
104,0,neutral
105,1,neutral
106,0,neutral
107,0,neutral
108,0,neutral
109,0,neutral
110,0,neutral
111,0,neutral
112,1,neutral
113,0,neutral
114,0,neutral
115,0,neutral
116,0,neutral
117,0,neutral
118,0,neutral
119,1,neutral
120,1,neutral
121,0,neutral
122,1,neutral
123,1,neutral
124,0,neutral
125,0,neutral
126,0,neutral
